	标点
由此可见	功能词
往心里去	厌恶
鸡眼	疾病 部件 脚 动物
侨资企业	场所 经济 工 建立 人 活动 地方 外国 住下 地方 外国
犯境	攻打 军 部件 边 地方 国家 政
鹜	禽 野生
中低档	低等 中等
日日	频度值 时间 日 单
明矾	化学物
穹苍	空域
雇	雇用
良心	情感
哀莫过于心死	重要 精神
碾米	研磨 材料 食物 庄稼
冻土	土石 冷
卫护	防守
木匠活儿	事务 木 工
无线电电子学	知识 物理
合唱	事情 唱 共同
合唱	唱 共同
堍	部件 桥梁
输送带	部件 器具 传送
插屏	用具 装饰 测量
领土主权完整	整 地方 控制 地方 国家 政 权利 地方 国家 政
治黄	控制 水域 中国 专 线
风雨如磐	时间 夜 出现 雨雪 风
曾几何时	即将
射阳县	地方 县 中国 专
工作程序	次序 事务
宿命	知识 感受 相信 命运
浊世	团体 纷乱
浊世	地方 世界
浊世	时间 纷乱
噶	文字 中国
引产	引导 生殖
桌椅板凳	家具
皮包公司	场所 经济 无 资金
四元文法	部件 语言
颈部运动	事情 锻炼 体育
使不变	使不变
多难兴邦	使成长 劫难 地方 国家 政
狂气	傲气 人
桦甸	地方 市 中国 专
查岗	查 防守 军
胡	人 过去
胡	部件 毛 人
胡	莽
胡	姓
听课	学习
传告	告诉
蓝	蓝
蓝	姓
高岭土	土石 材料
歌厅	场所 娱乐 唱
东川	地方 市 中国 专
哑然失笑	笑 忍耐 没能力
油	难吃
油	涂抹 材料 装饰
油	材料 食物 庄稼
油	材料 液态 焚烧
油	药物 液态 涂抹
油	狡 说
三百六十行	职位 人 全
上嘴唇	部件 上 部件 口 动物
所有这一切	万物 否
福井县	地方 省 日本 专
仰药	吃 物质 有毒 自杀
上访民众	人 控告
半规管	部件 部件 动物 听
牧草	花草 牲畜
公牛	牲畜 男
黄金时间	时间 有利 比率 图像 表演物
债务人	人 欠 钱财
黏结	态变 固态
似	相像
寸步不让	拒做 屈服
抛掉	放弃
穿孔	现象 医 出现 疾病
穿孔	破开 部件 口 无生物
恶声	语文 暴
败	损害
败	衰败 植物
败	输掉
败	战胜
鹄立	站立
患处	位置 发生 疾病
返任	返回 担任
后母	人 家庭 女 直系 长辈
着重	着重
印制	印刷
挑战者	人 指使 较量
文艺片	表演物
禁赌	禁止 赌博
壁炉	设施 建筑物 加热 焚烧
站大队	站立 形成 物形 有序 线
杨	姓
杨	树
喷气客机	飞行器 运送 人
县令	人 职位 政 官 过去
假以辞色	说 促使
电信局	场所 管理 事务 传播 信息
探亲	看望 家庭
芭蕾	事情 娱乐 艺
荆州	地方 市 中国 专
将就	功能词
将就	处理 成功
讲理	辩论
讲理	讲理
凝固点	温度 物质 态变 固态
中餐厅	场所 商业 吃 食物 与特定国家相关 中国
二重唱	事情 表演 艺
脾切除术	事情 医治 医
无须乎	功能词 否
配给	划定 多少 人工物
描写语言学	知识 语言
走调	出错 唱
结婚典礼	事情 祝贺 结婚
过分操心	烦恼 超
耿耿	忠
人类基因组	部件 生物学 人
耙地	变形状 平
黑斑	痕 黑 点 圆 小
不拘一格	划定 否 类型
中国	与特定国家相关 中国
中国	地方 国家 亚洲 政 专
肃杀	严重
左躲右闪	躲避
大联欢	事情 娱乐
治疗不如预防	强过 医治 阻止 疾病
回顾	回想
依兰	地方 县 中国 专
黄豆	庄稼
黄豆	部件 胚 蔬菜 吃
赦	免除 处罚 警
履行	实施
密	细心
密	隐秘
密	密
密	亲密
分说	反驳
梭镖	武器 军 扎
敝帚千金	爱惜 万物 无价值
巴伦支海	水域 专 面
悲戚	悲哀
无亲无故	疏远
挖空心思	思考 卖力
榫头	部件 人工物 拴连 木
命	命运 群体 人 地方
命	生命 现象 活着 生物 群体 活着
命	命令
命	语文 命令
葸	害怕
知情	知道
逆水行舟	驶 反向
金属板	材料 金属 面
戏谑	取乐
水兵	人 军 争斗 水域
狭长	长
祖师	人 创造
户外活动爱好者	人 体育 喜欢 事情 锻炼 位置 房屋 外
画集	簿册 留存 图像 采集
丝瓜炒肉片	食品 烹调
蜂拥而至	来 集聚
纡	弯
产儿	人 少儿 生殖 新近
裸退	停做 担任 全面
饶有余韵	雅
讪不搭的	为难
尼日利亚人	人 尼日利亚
厚道	诚实
湔	洗涤
体式	样式 文字
体式	样式 语文
苯胺	化学物
且慢	词语 表示 要求 等待
涂钦	姓
作伪	伪造
八旗子弟	人 浮 男
沥沥	声 发声 水 风
基坑	部件 根 建筑物
泳程	距离 游
探险家	人 调查
生活方式	举止 人 活着
艇	船
直至此时	功能词 时间 特定
勃起	翘耸 部件 脏 部件 脏 动物 排泄 生殖
呈拱形	成为 物形 线 圆
失常	不正常
记	动量 事件 事情
记	标志
记	记录
记	记得
记	语文 记录
几天	时间 日 些
贞观	时间 朝代 中国 皇 专 过去
安全玻璃	材料
走散	消失
呼吸道	部件 脏 动物 呼吸
彩号	人 军 医治 受伤
会聚透镜	用具 聚集 光
窃窃私议	谈话 隐秘
托辞	道理 伪
过分拥挤	挤 很
小本经营	从事 事务 商业 资金 少
叛贼	人 背叛 地方 国家 政 己
数字	多少 实体
数字	符号 数量 数学
可统一	齐
轻手轻脚	柔
聚乙二醇	化学物
扯谎	欺骗
第一次	首次
绿化面积	面积 无生物 变性态 栽植 农 树
提出诉讼	控告 警
为政清廉	事情 管理 不贪心 政
盆浴	洗涤 部件 身 动物
设营	住下 军
形声	方法 形成 文字 中国
潜伏期	时间 藏匿 疾病
山楂糕	食品
寄托	委托
寄托	表示
扫坟	致哀 设施 埋入 部件 身 人 死
闻喜	地方 县 中国 专
蒙古人种	类型 人 颜色 人 黄 部件 皮 人
黑白分明	清晰
与闻	从事 知道
信汇	邮寄 信件
即日	时间 日 现在
年夜饭	事情 吃 祝贺 时间 节 日
标量积	结果 数学 算术
独立战争	事情 争斗 美国 军 专
径赛检录员	人 计数 人 比赛 体育
聊	功能词
聊	谈话
载重量	多少 交通工具 装载
哪去	功能词 疑问
棉衣	衣物 穿戴 部件 人 阻止 冷
储蓄所	场所 金融 留存 货币 取回 货币
两姨亲	辈分 人
择校	选择 场所 教育 学习 教
茶末	材料 饮品 缺
丝绸之路	地方 中国 专
可饮用	能 喝
回溯	回想
二来	下次
不习水性	无能 游
每一季节	时间 季 单
佴	姓
水网	水域 网
蜂蜜酒	饮品 嗜好
过筛	滤清
缸砖	材料 建筑物
政	事务 管理 政
烫嘴	热 很
防止	阻止
东窗事发	露出 事情 隐秘
灿烂	灿烂
钢丝锯	用具 折断
缺漏	失去
醋酸纤维	材料
竖子	人 少儿 男
英勇事迹	成绩 非常好
漂白粉	材料 变颜色 白
存信股票	票证 资金 证券
旧迹	痕 过去
少年先锋队	团体 人 少儿
行事	行动
常备	永久性
语音识别	事情 感知 声 语言 电脑
赛犬	牲畜 家养
蓝汪汪	蓝
野火	火 陆地
玫瑰色	红
废金属	金属 废物
鸢尾	花草
年光	时间
百年不遇	发生 偶尔
工作制	时间 事务 次序 从事
遗弃	放弃
软着陆	到达 安
藤黄	黄
荷属圭亚那	地方 国家 拉丁美洲 政 专
出差错	出错
邮票簿	簿册 留存 票证 邮寄
炒股	交换 证券 票证 资金 证券
旧约全书	书刊 宗教
改期	改变 时间
薪尽火传	留给
阁楼	房间
特许经营	事务 商业
纺织	制造
增设	建立 多 较
单宁酸	化学物
读后感	感受 读
性质	特性 实体 事件
公	事务 共
公	公正
公	人 家庭 旁系 男 长辈
公	共
公	姓
释氧化合物	化学物
慷慨悲歌	唱 悲哀
家族史	事情 家庭 过去
快餐店	场所 商业 吃 食物 简
单兵作战系统	武器 军
好情	好情
骨朵儿	部件 部件 彩 植物 生殖
日偏食	天象 阻止 天体 光
寓	包含
寓	地方 住下
寓	住下
彩印	印刷 彩
簪花	用具 定住 部件 毛 人
未被承认	特性值 承认 否
毛手毛脚	粗心
志哀	致哀
另结新欢	交往 人 友 新近 爱恋
铺陈	说明 详
佯言	欺骗
底图	图像
婚内强奸	强迫 交配 人 家庭 配偶 有罪
眼点	痕
闲逛	走 闲
相对主义	知识 物理
管状	形状值
司仪	人 官 管理
诿卸	回避
卖劲	卖力
换上	改变
作用于	实施
入魔	喜欢 不讲理
干	慢待
干	旁系
干	做
干	干
干	空
干	争斗
干	食品
干	无效果
干	杀害
干	部件 身 树
干	部件 主 万物
干	有关
擢升	升级 职位
走好	词语 表示 离别
塌陷	下去 坏掉
排气消音器	部件 车 自动 消除 声
胸痛	现象 疼痛 医 出现 疾病
耍阴谋	欺骗
囚室	房间 场所 警 扣住 人 有罪 处罚 人 有罪
货运电梯	部件 运送 下移 上移
保险箱	用具 保存 钱财
观赏价值	价值 实体 享受 看
奄忽	骤然
溪谷	陆地 靠近 水域
强将	人 军 官
挂历	用具 告诉 时间 日
台甫	姓名 人
正反两穿	能 改变
居所	地方 住下
烧烤沙司	材料 调整 味道
空勤人员	人 军队 争斗 军
投机分子	人 冒险 政 逆
活性炭	化学物
胳膊肘子	部件 臂 动物
果戈理	人 俄罗斯 文 专 编辑 书刊
防滑链	用具 能 抗住 滑
连接词省略	现象 开除 词语
计程车	车 商业 自动 借出
比索	货币 智利 商业 金融
比索	货币 哥伦比亚
比索	货币 古巴
比索	货币 多米尼加
比索	货币 几内亚比绍 商业 金融
比索	货币 墨西哥
比索	货币 菲律宾
赖婚	否认 条约 示同意 结婚
移师	差遣 军 军队
在很大程度上	很
檐口	部件 络 建筑物 排出
塑身	锻炼 成为 美 形状 人 康健
分解	说明
分解	调解
分解	分离
圣艾蒂安	地方 市 法国 专
香料	材料 食物 用具 香
阿什哈巴德	地方 国都 土库曼斯坦 专
蛴	文字 中国
知名人士	人 著名
知名人士	人 著名 众
乐曲	音乐
软骨	部件 骨 动物
策论	语文 政
国际奥委会会旗	用具 事情 比赛 体育 专
小猫	牲畜 少儿 家养 娱乐
喵	声
它们	无生物 它 众
它们	特定 它 众
嘴上说得好听	说 不做 事情 充实 空洞
连通	连接
席卷	搬动
席卷	占领
武器	方法 精神
武器	武器 军
滴水成冰	冷 很
打扮入时	化妆
搁下	停做
搁下	放置
稗子	花草
稗子	部件 胚 花草
软焊料	金属 材料
菩萨	拟人 佛教 宗教
菩萨	人 仁
趁机	利用 时间 适宜
雷根斯堡	地方 市 德国 专
观战	看 比赛
观战	看 争斗
无精打采	坏情
凉风	风 凉
熟的干香肠	食品
顽	愚
顽	淘
顽	倔强
零吉	货币 马来西亚 商业 金融
厾	触
贫病交迫	遭受 病态 穷
发屋	场所 商业 化妆 部件 毛 人
安逸	惬
船艺	知识 方法 驾驭 船
絮状云	云雾
胸无点墨	没学问
特警	人 职位 警 特别
洽谈会	事情 集聚 商讨
砚友	人 学习 场所 教育 似
上声	声 语言
诛锄异己	消灭 人 政 不容
防盗	阻止 偷
盘账	查 簿册 记录 钱财 金融
不管不顾	轻视
处女般的	似 人 女 经受 否 交配
屁股兜	部件 衣物 放置
昂扬	好情
下巴	部件 部件 口 动物
太婆	人 家庭 女 直系 长辈
无名火	情感 生气
鞲鞴	部件 机器
武断	不公正
柑橘	水果
凄清	冷
才思	能力 人
调速	调整 速度 物质 变空间位置
居首	成功 较量
前去	去
富尔达	地方 市 德国 专
代办处	机构 外交 处于 地方 国家 政 外国
瓜贩	人 职位 水果 商业
愚昧无知	没学问
鹰犬	人 雇用 从事 事情 有弊
一片焦土	土石
吓一大跳	吓唬 很
惘然若失	忧愁
突破	战胜
突破	破开
国人	人 地方 似
疯狂般	暴
打底	安心
打底	吃
油汪汪	难吃
油汪汪	明
栖身	住下 临时
勾勒	描写 扼要
勾勒	画
五香大排	食品 烹调
费工	费力
面罩	部件 衣物 穿戴 部件 头 人
面罩	用具 保护 部件 皮 部件 头 人
施救	救助
醇正	味浓
奴隶制度	制度 政
指明	教
动脑筋	思考
宝石商	人 职位 材料 珍宝
瞒	瞒
打扫	使净
打扫	消除
豉香尖椒炒豆干	食品 烹调
天台县	地方 县 中国 专
罪人	人 有罪
罪人	人 罪恶
稽	查
稽	拖延
血管梗阻	疾病
束之高阁	拖延
平头百姓	人 普通 众
未了	完毕 未达成
开课	开始 教 知识 教育 学习 教 教育
开课	开始 教育
霜期	时间 雨雪
无机盐	化学物
品质优良	最佳
保不准	功能词
嚼舌根	辩论 莽
背时	倒霉
背时	背令
嗨哟	声 惊奇
粗中有细	细心
罗马银行	场所 意大利 金融 专 留存 货币 取回 货币 借入 货币
叫苦不迭	示不满
高斯圆问题	问题 数学
泡芙	食品
山海关	地方 中国 专
风平浪静	安
无可争议	正确
霹雷	雷
镱	金属 化学
花圃	设施 栽植 花草
反之	功能词
无凭无据	不合理
邀请者	人 邀请
实	事情
实	诚实
实	部件 胚 植物
实	充实
实	万物 真
实	真
现实主义	思想
广播台	场所 传播
缀辑	编辑
痧子	疾病
匿影藏形	瞒 身分
潮湿	湿
花坛	设施 栽植 花草
橡皮艇	船
阳曲	地方 县 中国 专
待售	卖
碰壁	失败
出租车	车 商业 自动 借出
互换	交换
不外乎	功能词
明天星期几	词语 问 时间
适可而止	回避 行动 超
干豆角回锅肉	食品 烹调
陵墓	设施 埋入 部件 身 人 死
欠产	制造 人工物 少
罗织	损害
森林灭火员	人 职位 消除 火
致知	得到 知识
保鲜	保持 新
按股分红	分发
易碎	易 折断
实干加巧干	从事 巧 卖力
工作面	位置 设施 矿
工作面	部件 皮 人工物 制造
砾石	土石
微风	风 弱
流寓	住下 地方 外国
玉米棒子	食品 烹调
玉米棒子	部件 胚 庄稼
忧闷	烦恼
单不饱和	状况值 态变
喀什	地方 市 中国 专
保温杯	用具 保持 温度 保存
扬手	部件他移 部件 手 人
精巧	精
收益	钱财 金融 赚
啰啰唆唆	琐
校阅	查
松节油	材料 液态 润滑
递归	再
丧葬费	费用 致哀 人 死
膣	部件 脏 部件 脏 动物 女 排泄 生殖
确认航班	决定 飞行器 旅游
语法规则	规矩 语言
神采飞扬	健壮
小农	人 职位 农
可退回	能 还
疽	疾病
出生年月	时间 问世
宿怨	情感 仇恨 过去
滑稽戏	表演物
桥洞	部件 口 桥梁
以毒攻毒	争斗 物质 有毒 物质 有毒
撼天动地	促使 害怕
也未	功能词 否
黑钙土	土石
长岭县	地方 县 中国 专
玫瑰痤疮	疾病
食管癌	疾病 肿胀 不会 医 控制
雨声	声 发声 坏天 雨雪
猛士	人 勇 男
静止不动	状况值 静态
治丧	安排 事情 致哀 死
吞进	咽下
馇	烹调
孩子他妈	人 家庭 女 配偶
斯拉夫人	人
蛋糕	食品
不肖子孙	人 家庭 小辈 直系 庸
音信杳无	消失
联网	连接
花厅	房间 招待 人 看望
高大	身高 大
高大	伟
珠宝商	人 职位 珍宝 商业
纸尿裤	用具 嵌入 人 少儿 捉住 排泄物
懿	高尚
浑然	整
浑然	全面
为	功能词
为	成为
为	是
为	做
为	指代
为	经受
悲泣	哭泣 悲哀
衡山	陆地 中国 专 凸
感人至深	感动
认	当作
认	承认
认	同意
认	承担
认	分辨
认	愿意 消极
绥中	地方 县 中国 专
家畜放线菌病	疾病 牲畜
付息	付
航空体育运动	事情 锻炼 事情 飞 飞行器 体育
密不透风	隐秘
密不透风	密
弗吉尼亚	地方 省 美国 专
茵褥	用具 躺卧
初中二年	等级 教育 场所 教育 中等 学习 教
搭界	靠近
搭界	有关
受试者	人 查
受试者	人 经受 考试
挤榨	按压
深海带	部件 大地
前后文	部件 语文
矿区	场所 矿 制造 材料
词汇	词语 众
鲞	食品 鱼
木鱼	乐器
断肠	悲哀
遗骸	部件 身 动物 死
蓝莓	水果
喜悦	喜悦
黑色素瘤	疾病 肿胀 不会 医 控制
筵宴	事情 招待 食物
国际货币基金组织	部件 金融 机构 联合国 政 专 国际
人选	人 选择
公然	公开
密谋者	人 计划 隐秘
秃山	陆地 荒 凸
修造	建造
可记得	能 记得
失语症患者	人 罹患 疾病 说
逼真性	异同 内容
凉瓜炒牛肉	食品 烹调
胰	部件 脏 部件 脏 动物 消化
女实业家	人 职位 经济 女
棒	优质
棒	物形 长 直
棒	健壮
胶原质	部件 胚 动物
帮扶	帮助
繁琐	琐
上账	记录 簿册 金融
劲风	风 坏天 强
忧容	表情 人 忧愁
馄饨面	食品 烹调
捡便宜	得到 方法 不公正 利
九层塔羊肉	食品 烹调
磔	事情 处罚
磔	部件 文字
降价	减少 商业 价格
瓷漆	材料 装饰
堆砌	建造
堆砌	写
战壕	设施 军 藏匿 争斗
老年性痴呆症	疾病
伶仃	孤
炒勺	用具 烹调
择	选择
择	选拔
浅绿色	绿 淡
攻下	占领 军
稀有气体	气
明炉烧鸭	食品 烹调
四面八方	位置 周围
经年	长时间 年
田纳西河	水域 美国 专 线
新奇	新
蹄兔	走兽
谎言	语文 欺骗
小测验	事情 考试
列为	经受 整理
水缸	用具 放置
舆论界	团体 传播 信息
枢纽	部件 心 万物
越过	越过
越过	强过
马拉维克瓦查	货币 马拉维
循环赛	事情 比赛 体育
映入眼帘	经受 感知 看
媚骨	举止 人 卑劣 恭顺
翻下页	颠倒 部件 书刊
怕是	功能词
打包	倒出
打包	包扎
交通民警	人 职位 命令 变空间位置 人 交通工具
活页夹	用具 保存 文书
心神不定	不安
车臣	地方 俄罗斯 专
出售摊	场所 商业 买 卖
贪占	偷
橐驼	走兽
玻璃板	部件 眼 建筑物
扫房	擦拭 房间
大马趴	事情 跌倒
舍身相救	放弃 人 己 救助
总支	部件 支 团体
飓风	风 坏天 强
健胃	适宜 部件 脏 动物
联系	相关性 属性值 属性 实体 事件
联系	交往
练出	练习 得到
接戏	接受 表演
原委	部件 详 事件
祸起萧墙	发生 劫难 位置 内
排行老几	辈分 人
数值	多少 实体
双体船	船
岷	文字 中国
以此为戒	认为 感受 事情 特定
篮坛	团体 篮球 锻炼
颀伟	身高 大
供销社	场所 商业 买 卖
甲壳	部件 皮 鱼
才略过人	智
镀上	涂抹 工
乌孜别克斯坦	与特定国家相关 乌兹别克斯坦
争相	积极
矢量	符号 数量 数学
省直机关	机构 归属值 地方 省
盥洗间	房间 排泄
奥斯汀	人 英国 文 专 编辑 书刊
远眺	看 远
日常生活的一部分	部件 事情 活着
乱民	人 普通 众 暴动
保不定	功能词
仿冒	模仿
卫戍区	地方 军 防守
在家赋闲	失去 职位
府	房屋
府	房屋 大
府	机构 政 官 管理
府	地方 省
耽心	害怕
成平手	相等 体育 较量
不发达国家	地方 国家 政 衰
鸡炒饭	食品 烹调
树桩子	部件 身 树
品评	评估
疑阵	形状 军队 使误知 军队 敌
疑阵	规划 欺骗
馆所	房屋
亏累	亏损 金融
普及性	通俗性 内容
细砂	土石
沧海	水域 面
真细菌	微生物
淘汰制	制度 开除
巴尔干综合征	现象 疾病
一丝不挂	赤裸
铺子	场所 商业 买 卖
并茂	优质
氧气	化学物
置换	代替
整形手术	事情 切削 医 医治
革命英雄主义	思想
损坏	损害
碎纸机	用具 变形状 缺 材料 画 包扎 写
赔还	补偿
打尖	吃
饿	使动 饥渴
饿	饥渴
久已	长时间 过去
泪腺	部件 络 动物 排出 体液 制造 体液
溴化钾	化学物
瓞	植物
逃匿	藏匿
顾拜旦	人 法国 体育 专 著名 建立 事情 比赛 体育 专
家庭服务员	人 职位 照料 家庭
查阅	读
美国空军	部件 军队 美国 专 争斗 空域
科学技术	知识
甜美	好听
甜美	幸福
甜美	甜
倾卸	倒出
丁克家庭	家庭 富 无 人 家庭 小辈 众
办公会议	事情 集聚 商讨 事务 责任
家信	信件 写 人 家庭 直系
诺言	语文 保证
口授	命令 写
口授	教 说
脆嫩	脆 嫩
辛苦费	酬金
拒敌	反抗 军队 敌
另辟蹊径	创造 方法 另
毁尸灭迹	消灭 部件 身 人 死 消灭 信息 证明 事情 有罪
糰	食品
呲	谴责
悚	害怕
悚	取悦
悚	敬佩
悚	翘耸
文身	扎 部件 身 人 材料 变颜色
龙舌兰酒	饮品 嗜好
疑惑	怀疑
玖	基数
冁然而笑	笑
珠帘	用具 遮盖 部件 口 建筑物
一无所得	得到 否
换气扇	用具 工 使净 气
坌	废物
热情好客	友善 热情
飘浮	漂
菌肥	材料 农 化学 喂 庄稼
捞起	捞起
打不垮	特性值 战胜 否
四	基数
四	符号 音乐
就任	担任 事务 职位
铜钿	货币 商业 金融
长寿饮食法	知识 食物
邀请函	信件 邀请
心猿意马	莽
宣传	传播
初值	多少 数学 实体
迸射	喷出
空中客车	飞行器
国营农场	场所 农 共 栽植
面膜	用具 化妆
记忆术	方法 能 优化 能力 动物 记得
央托	委托
腠	痕 部件 肉 动物
言	文字
言	说
言	姓
言	语文 说
真才实学	能力 人 能
年龄段	幅度 人 年龄
表兄弟	人 家庭 同辈 旁系 男
花芽	部件 部件 彩 植物 生殖
不论在什么情况下	功能词
无实质	空洞
音质	音质 物质
沙弥	人 佛教 宗教
卫生巾	用具 与女性相关 擦拭
中共老干部	人 职位 团体 中国 政 专 能
小产	失败 临产
不讲道理	不讲理
坎昆	地方 市 墨西哥 专
着装	穿戴
着装	衣物
开犁	开始 栽植 农
稀奇	怪
横心	愿意 坚决
从最初开始	早期
金星	天体
拖累	阻止
嘘声	声 喊 示不满
一百零一	基数
七重唱	事情 表演 艺
简化的	简
扎花	装饰
日历	用具 告诉 时间 日
智齿	部件 动物 啃咬
咬啮	啃咬
闲暇	时间 闲
线规	用具 测量
呛	气喘
补助费	酬金 赐
蜕化变质	不道德
党组	部件 支 团体 中国 政 专
老年病学	知识 疾病 罹患 人 老年 医
水天一色	广
蜡笔画	图像 画
电容器	物质 保存 电
棺木	用具 保存 部件 身 人 死
笞	打
龙涎香	物质 用具 香 排出 位置 部件 身 走兽 游 内
有用	有用
荐椎	部件 骨 动物
捝	开除
星期二	时间 日 周 特定
超人	不凡
超人	人 能
运动队	团体 体育 比赛 锻炼
斩杀	杀害
地灵人杰	地方 人 能 荣
挤挤插插	挤
头人	人 官
本相	真伪 万物 真
逊尼派	团体 伊斯兰教 宗教
小意思	事情 不重要
小意思	物质 赠
曲霉病	疾病
关节造影	事情 诊察 医
展览馆	场所 展示 物质 珍
守势	姿势 军 军队 事情 防守
妹夫	人 家庭 同辈 旁系 男
疯疯癫癫	心不在焉
医典	书刊 医
不暇	忙
摔跟头	跌倒
摔跟头	出错
山脉	陆地 凸
市花	花草 指代 地方 市
风油精	药物
喧宾夺主	代替 人 招待 人 看望
瓦垄子	鱼
口实	道理 谴责
涯	位置
籼米	材料 食物 庄稼
哈工大	场所 中国 教育 高等 专 学习 教
淘金	采集 金属 材料
弥留	靠近 死
钉牢	定住
寄至	邮寄
可怕	能 促使 害怕
偷取者	人 有罪 偷
觉出	知道
陈谷子烂芝麻	事情 不重要
情状	境况 事件 万物
恒温	温度 物质 恒定
价格	价格 商业 人工物
宫刑	消除 部件 脏 男 部件 脏 动物 排泄 生殖
味道	味道 物质
肤浅	浅薄
授粉	传送 部件 胚 植物
诉冤	控告 遭受 慢待 加害
行李房	场所 处理 人工物 携带 旅游
沙丘	部件 凸 陆地
穷追猛打	攻打 强 追赶 强
冬菇菜心	食品 烹调
千叮万嘱	劝说
起笔	写
冼	姓
屈指可数	少 很
黄陵县	地方 县 中国 专
谈成	约定
破除	消除
断头台	用具 杀害
重油	材料 液态 焚烧
人主	人 皇 元首
高峰会议	事情 商讨 高等
美味	好吃
美味	食物 好吃
威尔士	地方 英国 专
分岔	形变 分离 部件 万物
詈骂	谴责
凉拌花螺	食品 烹调
人声嘈杂	嘈杂
并力	合作
刎颈之交	人 友 亲密 极
环境问题	问题 情况 实体
堕入	下去
格外	很
变化多端	易变
进屋	进入 房间
奴相	积极性 人 消极
过分地吹	呼出 超
试表	测量 温度 动物 医
心粗	粗心
老年病	疾病 罹患 人 老年
分种	栽植 分别的
贴现率	钱财 借出 金融
骚扰	捣乱
烹饪用具	用具 烹调
议院	机构 政 形成 律法
朝发夕至	近
工友	人 工
工友	人 从事 共同
待命	等待 语文 命令
碳钢	金属
不尚	回避
不感冒	喜欢 否
不感冒	寒热 否
原定	约定
阴丹士林	材料 变颜色
本地化	变性态 本土
乙酰氯霉素	药物 医 消灭 微生物 医 能 导致 疾病
压惊	安慰
16	基数
点源污染	劫难 使脏 水 包围 水域
一言不发	不说
行人	人 走
鼎	用具 放置
颉颃	相等 能力
痴念	现象 做梦
酸心	腹症
阿飞	人 浮 青年
曝光表	用具 拍摄 测量
组成	建立
流氓集团	团体 卑劣 暴 有罪
佳人	人 美 女
心广体胖	形变 胖 心胸开阔
加急电	信件 急
槎	船
大公无私	无私
抵抗	反抗
药草	材料 药物
禀受	有
沃苏勒	地方 市 法国 专
上身裸露	成为 赤裸 部件 身 上 半 人
件数	多少 实体
屠伯	人 杀害 牲畜
启动成本	费用 开始 事务
二十五史	书刊 中国 专
赌局	事情 赌博
沉迷	放纵
除净	消除
鲜明的对比	结果 比较 清晰
客馆	场所 旅游 吃 娱乐 住下
热压	按压 工
银行帐户	簿册 金融 记录 钱财
耱	用具 农
等式	词语 数量 符号 数学 算术 计算
乒赛	事情 比赛 乒乓球
巡阅	查
等雨量线	标志 天象 线
矫正	改正
朽烂	衰败
稍纵即逝	短时间
傻里瓜唧	愚
文水	地方 县 中国 专
婚嫁	事情 结婚
吐鲁番	地方 市 中国 专
秋阳杲杲	天体 明 时间 秋
霸权	制度 国家 政 暴 加害
冠冕堂皇	特性值 假装 重要
袖扣	配件 衣物 拴连
李鸿章	人 职位 中国 政 专 官 过去
柴垛	材料 木 焚烧
鱼卵	部件 食品 胚 鱼
赙	赠
产业资本主义	制度
羊毫	用具 画 写
月老	人 引导 爱恋
干事长	人 职位 官 管理
腥臭	臭
上诉巡回法庭	机构 警 裁定
夜游神	人 行动 时间 夜
奥委会	机构 体育 专 管理 比赛
层层	厚
头饰	用具 穿戴 装饰
薪水	酬金
胃	部件 脏 部件 脏 动物 消化
变声	外观变 声 发声
汽锤	机器 工 打
明面上	公开
无尽无休	间断 否
冷热	感受 感知 温度
隘路	道路
三叠系	时间 过去
轻量级	等级 体育 重量 比赛
酸腐	坏掉
测不准原理	知识 物理
指路明灯	设施 水域 引导 照射 船
军烈属	人 家庭 军 直系
焦枣	水果
大萧条	时间 衰
攮子	武器 军 扎
惶	着急
篱	配件 建筑物 阻止
想入非非	心怀 念头 莽
面子	名声 群体 人
面子	部件 皮 外 万物
面子	部件 皮 物质
面子	物形
菅	花草
菅	姓
缓和	削弱
缓和	削弱 境况 地方 世界 国际
声学家	人 有 知识 声
引致	导致
引致	招惹
清馨家园	地方 居民区 专
分毫	多少 实体 少
引智	邀请 人 能
埋伏	军队 藏匿 等待 攻打
埋伏	藏匿 军 等待 攻打
埋伏	藏匿 等待 攻打
加沙	地方 亚洲 专
B超	事情 诊察 医
B超	用具 医 诊察
这回	现在
顶儿	部件 衣物 穿戴 部件 头 人 指代 等级 人 官
坚实	牢
吃重	费力
装到	装载
抓拍	拍摄
不可抗力	可能 事件 不会 躲避
渐渐地	渐进
荒郊野外	陆地 荒
腾闪不及	迟 躲避
梅毒瘤	疾病
攘除	消除
把握	情感 相信
把握	拿
把握	领会
把握	利用
网址	场所 制造 软件 寻 文书 信息 因特网
丝巾	衣物 穿戴 部件 头 人
麸皮面包	食品
羽绒	部件 毛 纤 软 动物
斋期	时间 戒除 食物 宗教
腰子	部件 脏 动物
风流人物	人 自由
风流人物	人 有情
相好	交往 亲密
相好	人 女 活着 共同 非法 结婚 否
相好	人 友 亲密
听力学	知识 能力 动物 听 医
幕僚长	人 高等 帮助 人 职位 官 高等
蓰	基数
钻石	材料 珍宝
社会资源分配不公	不公正 分发 钱财 群体 地方 国家 政 集体的
国外分行	场所 金融 支 外国 留存 货币 取回 货币 借入 货币
惚	文字 中国
橡皮圈	用具 线 包扎
惼心	心胸狭窄
迁往	外移
超塑性	能力 无生物
肺炎	疾病 发炎 部件 脏 部件 脏 动物 呼吸
胸主动脉	部件 络 部件 脏 动物 循环
以次充好	伪造 混合 物质 伪
